curs,run,precursor
ten,thin,attenuated
extra,beyond,extraneous
fundus,bottom,profound
se,apart,sedulous
phan,to show,sycophant
legein,to speak,prolegomenon
hedone,delight,hedonism
pater,father,patrician
mis,bad,miscreant
cred,believe,miscreant
terr,land,terra firma
de,from,desuetude
peri,around,peripatetic
patein,to walk,peripatetic
