an,without,anodyne
mord,bite,mordacious
equi,equal,equipoise
pend,weigh,equipoise
ann,year,superannuated
tract,pull,intractable
puer,boy,puerilism
ile,like,puerilism
sym,together,symbiosis
bio,life,symbiosis
necro,death,necrophobia
retro,backward,retrospective
fin,end,fin de si&egrave;cle
cise,cut,incisive
