rid ,laugh,risible
ine,nature of,saturnine
vac,empty,vacuous
pusill,tiny,pusillanimous
sub,under,sublime
act,to do,auto da fe
im,not,impunity
lum,light,illuminati
-i,plural,illuminati
mony,condition,hegemony
psych,soul,psychosis
osis,condition,psychosis
neuro,nerve,neurosis
ager,field,peregrinate
ideo,idea,idée fixe

