precursor,forerunner
attenuated,thinned
extraneous,from outside
profound,deep
sedulous,diligent
sycophant,an obsequious parasite
prolegomenon,preliminary statement
hedonism,devotion to pleasure
patrician,aristocratic
miscreant,evil unbeliever
terra firma,firm land
desuetude,disuse
peripatetic,walking
