risible,laughable
saturnine,gloomy and remote
vacuous,stupidly empty of ideas
pusillanimous,small-minded
sublime,noble
auto da fe,burning a heretic
impunity,exemption from punishment
illuminati,enlightened intellects
hegemony,state dominance
psychosis,major mental illness
neurosis,mental disorder
peregrinate,to travel
idée fixe,obsession
