circumvent,get around
pertinacious,holding stubbornly
interlocutor,person in conversation
autodidact,self-taught person
reify,treat as real
in medias res,in the middle of things
exculpate,free from blame
obsequious,servile
pensive,sadly thoughtful
amiable,friendly
serene,clear and calm
abate,to lessen
