sanctimonious,affectedly holy
viva voce,word of mouth
paragon,excellent model
impecunious,poor
dissemble,conceal through pretense
ephemeral,short-lived
epitaph,tomb inscription
procreant,producing offspring
ad infinitum,without end
omnium gatherum,an assorted collection
reprobate,hopeless scoundrel
contretemps,embarrassing mishap
