sanct,holy,sanctimonious
gen,origin,ontogeny
voc,voice,viva voce
para,beside,paragon
pecunia ,money,impecunious
simul,feign,dissemble
epi,upon,ephemeral
taph,tomb,epitaph
crea,create,procreant
fin,limit,ad infinitum
omni,all,omnium gatherum
prob,test,reprobate
contra,against,contretemps
tempor,time,contretemps
