stringent,binding
pyromania,compulsive arson
stereotype,a fixed prejudice
disquisition,formal discussion
haute couture,high fashion
megalomania,delusions of greatness
dissonant,inharmonious
myriad,innumerable
myopia,nearsightedness
chiaroscuro,artistic shading
choreography,dancing
topiary,art of trimming shrubs
ontogeny,development of individual
ontology,metaphysics of being
